"","Alpha_Three_Factor","Sector"
"F",-0.00729340494293206,"xlre"
"FAF",-0.0058292399731815,"xly"
"FANG",-0.00776209192037534,"xlf"
"FAST",-0.00698889528797996,"xle"
"FB",-0.00585763486402406,"xli"
"FBHS",-0.00598750761664336,"xlk"
"FCE-A",-0.00675349581847047,"xli"
"FCX",-0.0069101539548567,"xlre"
"FDC",-0.00657761648897201,"xlb"
"FDS",-0.00701169409518038,"xly"
"FDX",-0.00649625824824636,"xlk"
"FE",-0.00760262436056376,"xli"
"FEYE",-0.00631731756782042,"xlu"
"FFIV",-0.00766871705928093,"xlk"
"FHB",-0.00759492314030724,"xlk"
"FHN",-0.00726783545548179,"xlf"
"FII",-0.00676271966536947,"xlf"
"FIS",-0.00681475763664875,"xlf"
"FISV",-0.00691945600413716,"xlk"
"FITB",-0.00647111363512858,"xlk"
"FL",-0.010018052777198,"xlf"
"FLIR",-0.00661556133390641,"xly"
"FLO",-0.00707124861564846,"xlk"
"FLR",-0.00778972566621502,"xlp"
"FLS",-0.0073429318591315,"xli"
"FLT",-0.0068945413062359,"xli"
"FMC",-0.00508108673269076,"xly"
"FNB",-0.00716021455019987,"xlb"
"FND",-0.0068249482262875,"xlf"
"FNF",-0.00537575970323184,"xly"
"FOX",-0.00711676153160443,"xlf"
"FOXA",-0.00705990530958767,"xly"
"FRC",-0.00705977709232695,"xly"
"FRT",-0.00818099549737011,"xlf"
"FSLR",-0.00533900333702586,"xlre"
"FTNT",-0.00570589815761156,"xlk"
"FTV",-0.00613742996618441,"xlk"
"FWONA",-0.00655543150685948,"xli"
"FWONK",-0.00632133796661397,"xly"
"G",-0.00668867684795961,"xly"
"GD",-0.00717116372627973,"xly"
"GDDY",-0.00636252635502941,"xli"
"GDI",-0.00496710372425645,"xlk"
"GE",-0.010208641059649,"xlk"
"GGG",-0.00561930278104985,"xle"
"GGP",-0.00780104087385961,"xlp"
"GHC",-0.00668530115529137,"xlre"
"GILD",-0.00789137948219326,"xly"
"GIS",-0.00776680793405075,"xlv"
"GLPI",-0.00681176724842828,"xlp"
"GLW",-0.0063888347962579,"xly"
"GM",-0.00651317499466029,"xlk"
"GME",-0.0087909926035374,"xly"
"GNTX",-0.00727231783488873,"xly"
"GOOG",-0.00662681405363887,"xlp"
"GOOGL",-0.00670338099267556,"xlk"
"GPC",-0.00716167767671583,"xlk"
"GPK",-0.00686982094018116,"xly"
"GPN",-0.00606497570051246,"xly"
"GPOR",-0.00829356657698732,"xlk"
"GPS",-0.00631585296366698,"xle"
"GRA",-0.00674716721571175,"xly"
"GRMN",-0.00645638276634244,"xli"
"GS",-0.00739913959600047,"xly"
"GT",-0.00740499254641911,"xlf"
"GWR",-0.00646208202733822,"xly"
"GWRE",-0.00553391643722662,"xli"
"GWW",-0.00809389809465823,"xlk"
"GXP",-0.0069196229996894,"xli"
"H",-0.0063746354913164,"xlu"
"HAIN",-0.00657227329422037,"xly"
"HAL",-0.00915794267377542,"xlp"
"HAS",-0.00660255503602676,"xle"
"HBAN",-0.0066820880232755,"xly"
"HBI",-0.00789498918239148,"xlf"
"HCA",-0.00693300235840025,"xly"
"HCN",-0.00727550104680031,"xlv"
"HCP",-0.00790496789651789,"xlre"
"HD",-0.00639428127804854,"xlre"
"HDS",-0.00813022143030276,"xly"
"HE",-0.00691148998522534,"xly"
"HEI",-0.00601389368170432,"xlu"
"HEI-A",-0.0064191760877603,"xlp"
"HES",-0.00905493237242187,"xlb"
"HFC",-0.0054050804503095,"xle"
"HGV",-0.00539607059700418,"xle"
"HHC",-0.00740396474090946,"xly"
"HIG",-0.00695604885696955,"xly"
"HII",-0.0068871364716829,"xlf"
"HIW",-0.00779615382636869,"xlp"
"HLF",-0.00543795811353584,"xly"
"HLT",-0.0056435710450671,"xlv"
"HOG",-0.00790826522633142,"xly"
"HOLX",-0.00767035815113252,"xly"
"HON",-0.006520847653163,"xlv"
"HP",-0.00827731429246043,"xli"
"HPE",-0.0068579665500738,"xle"
"HPP",-0.00751341779010781,"xlk"
"HPQ",-0.00572303317771133,"xlf"
"HPT",-0.00744069929870782,"xlk"
"HRB",-0.00610189387129417,"xly"
"HRC",-0.00565082133169331,"xly"
"HRL",-0.00702321373872832,"xlv"
"HRS",-0.00615513247805234,"xlp"
"HSIC",-0.00783865324298517,"xlk"
"HST",-0.00668809007732175,"xlv"
"HSY",-0.00736215413620025,"xlre"
"HTA",-0.00722598333305668,"xlp"
"HUBB",-0.00693147705119062,"xly"
"HUM",-0.00678708415381241,"xlp"
"HUN",-0.00432383215947751,"xlv"
"HXL",-0.00711961629747685,"xli"
"IAC",-0.00423417524511973,"xli"
"IBKR",-0.00569080874839693,"xly"
"IBM",-0.00777347799306563,"xlf"
"ICE",-0.00640119796193101,"xlk"
"ICPT",-0.00900087390682151,"xlf"
"IDXX",-0.00559725513483722,"xlv"
"IEX",-0.00563573918033027,"xlv"
"IFF",-0.0064401787119143,"xlp"
"IGT",-0.00721737313471755,"xlb"
"ILMN",-0.00491065617686991,"xly"
"INCY",-0.00714203618832096,"xlv"
"INFO",-0.00694886473309559,"xlv"
"INGR",-0.00758049147187765,"xlk"
"INT",-0.00904934613680972,"xlp"
"INTC",-0.00695153502070967,"xle"
"INTU",-0.00691054029537526,"xlk"
"INVH",0.66081913462488,"xlk"
"IONS",-0.00714682171932748,"xlf"
"IP",-0.00716283373952448,"xlv"
"IPG",-0.00815426571510902,"xlb"
"IPGP",-0.00340149682942102,"xlk"
"IR",-0.00690932631483722,"xlk"
"IRM",-0.00631190636347383,"xli"
"ISRG",-0.00485188948623294,"xlre"
"IT",-0.00654462373425934,"xlv"
"ITT",-0.00613787813604,"xlk"
"ITW",-0.00629710661504249,"xlp"
"IVZ",-0.00645301415358933,"xlk"
"JBGS",-0.0079438007172439,"xlf"
"JBHT",-0.00652555861984112,"xly"
"JBL",-0.00639227004041261,"xli"
"JBLU",-0.00709559759508152,"xlk"
"JCI",-0.00781991524690847,"xli"
"JEC",-0.00637892541830111,"xli"
"JKHY",-0.00657067303433538,"xli"
"JLL",-0.00588274613663489,"xlk"
"JNJ",-0.00744315352939876,"xlf"
"JNPR",-0.0078128163000843,"xlv"
"JPM",-0.0065715583153857,"xlk"
"JUNO",-0.00152341502301247,"xlf"
"JW-A",-0.00720168214459641,"xlv"
"JWN",-0.00773994722981346,"xlp"
"K",-0.00804282448292837,"xly"
"KAR",-0.00680265699929106,"xlp"
"KEX",-0.00652280698644456,"xly"
"KEY",-0.00668329504872425,"xly"
"KEYS",-0.00671231737177837,"xlf"
"KHC",-0.00801240591149378,"xlp"
"KIM",-0.00880050763287842,"xlp"
"KLAC",-0.00588792400665054,"xlre"
"KMB",-0.00781233548117089,"xlk"
"KMI",-0.00849263668383439,"xly"
"KMX",-0.00654077116473529,"xle"
"KO",-0.00756494643001043,"xly"
"KORS",-0.00655151924995805,"xlp"
"KOS",-0.0066718495914538,"xly"
"KR",-0.00894626898310595,"xle"
"KRC",-0.00759193658850573,"xly"
"KSS",-0.00712048616931364,"xly"
"KSU",-0.00566132063539702,"xly"
"L",-0.00763899370984807,"xli"
"LAMR",-0.00696043374178566,"xlf"
"LAZ",-0.00603556857730451,"xly"
"LB",-0.00802115364475525,"xlf"
"LBRDA",-0.00734836083716733,"xly"
"LBRDK",-0.00738307301365948,"xly"
"LDOS",-0.00647160872565636,"xly"
"LEA",-0.00588749250278471,"xlk"
"LECO",-0.00674837238404598,"xlp"
"LEG",-0.00730088433570276,"xlk"
"LEN",-0.00555784493909472,"xly"
"LEN-B",-0.00569445186343284,"xli"
"LEXEA",-0.0069868571108399,"xli"
"LGF-A",-0.00625646965771629,"xly"
"LGF-B",-0.00632453547829318,"xly"
"LH",-0.00663947082231848,"xly"
"LII",-0.00618289242558714,"xlv"
"LKQ",-0.006894016269681,"xlp"
"LLL",-0.00694945881741119,"xly"
"LLY",-0.0072487984978793,"xlk"
"LM",-0.00552262931271906,"xlv"
"LMT",-0.00673319825079085,"xlf"
"LNC",-0.00668965406970106,"xli"
"LNG",-0.00647244446947817,"xlf"
"LNT",-0.00709611823783376,"xlu"
"LOGM",-0.00593102552628075,"xlu"
"LOW",-0.0065225011377532,"xlk"
"LPI",-0.00889826313136536,"xly"
"LPLA",-0.00597172649790418,"xle"
"LPNT",-0.00860935856215276,"xlf"
"LPT",-0.0069400349095553,"xlv"
"LRCX",-0.00421840355278778,"xly"
"LSI",-0.00772160296899831,"xlk"
"LSTR",-0.00639008628894283,"xly"
"LSXMA",-0.00689899194731817,"xli"
"LSXMK",-0.00690138687092442,"xly"
"LUK",-0.00686301987571003,"xly"
"LULU",-0.00714078182471255,"xlf"
"LUV",-0.00677487689902766,"xlp"
"LVNTA",-0.00593677769591226,"xli"
"LVS",-0.00632976423841641,"xly"
"LW",-0.00607129290936052,"xly"
"LYB",-0.00622711339826099,"xlp"
"LYV",-0.00575170889557597,"xlb"
"M",-0.0087023583627558,"xly"
"MA",-0.00587248742505292,"xly"
"MAA",-0.00754368854653712,"xlk"
"MAC",-0.00818739240667688,"xlre"
"MAN",-0.00516889498644153,"xlre"
"MANH",-0.00828705620672837,"xlk"
"MAR",-0.00536727653710969,"xlk"
"MAS",-0.00602248357150619,"xly"
"MAT",-0.00901295914268141,"xli"
"MCD",-0.0061714024230275,"xly"
"MCHP",-0.0059298437321107,"xly"
"MCK",-0.00719228768027232,"xlk"
"MCO",-0.00552280528687401,"xlv"
"MCY",-0.00775609667469317,"xlf"
"MD",-0.00832081958647373,"xlf"
"MDLZ",-0.00752494041330971,"xlv"
"MDT",-0.00702182420952882,"xlp"
"MDU",-0.00785330147450973,"xlv"
"MET",-0.00685587829694778,"xli"
"MFA",-0.00693418251430692,"xlf"
"MGM",-0.00700083054387103,"xly"
"MHK",-0.00598593466869678,"xly"
"MIC",-0.00770329858223445,"xly"
"MIDD",-0.00753051880598009,"xle"
"MIK",-0.00674866182105291,"xlk"
"MKC",-0.00662161487772645,"xly"
"MKL",-0.00717495765074688,"xlp"
"MKTX",-0.00697893717588199,"xlf"
"MLM",-0.00692860138066265,"xlf"
"MMC",-0.00690373338775765,"xlb"
"MMM",-0.00649962128037293,"xlf"
"MNK",-0.0105854366538243,"xlv"
"MNST",-0.00625372743033035,"xlv"
"MO",-0.0078392592603908,"xlp"
"MON",-0.00737767526781044,"xlp"
"MORN",-0.00666220934651489,"xlb"
"MOS",-0.00788638825338514,"xlf"
"MPC",-0.00680132518974967,"xlb"
"MPW",-0.00677000480720661,"xle"
"MRK",-0.00821767831355436,"xly"
"MRO",-0.0084709430546918,"xlv"
"MRVL",-0.00521102090002539,"xle"
"MS",-0.00685612958754711,"xlk"
"MSCC",-0.0073064626843566,"xlf"
"MSCI",-0.00516075303461413,"xlk"
"MSFT",-0.00651283690338308,"xly"
"MSG",-0.00696041835858096,"xlk"
"MSI",-0.00688637066629942,"xly"
"MSM",-0.0075471130655025,"xlk"
"MTB",-0.00675335195365597,"xlp"
"MTCH",-0.00520050795902494,"xlf"
"MTD",-0.00552502635883126,"xlk"
"MTN",-0.00588793116593205,"xlv"
"MU",-0.00390123565377474,"xly"
"MUR",-0.00791425673210746,"xlk"
"MUSA",-0.00650904125311188,"xle"
"MXIM",-0.00613530423885048,"xly"
"MYL",-0.0085614692096446,"xlk"
"NATI",-0.00552306860485139,"xlv"
"NAVI",-0.0065291397944501,"xlk"
"NBIX",-0.00399637698406593,"xlf"
"NBL",-0.00894660869809186,"xlv"
"NBR",-0.0113939477789903,"xle"
"NCLH",-0.00659795115075498,"xle"
"NCR",-0.0081020235940671,"xly"
"NDAQ",-0.00674596475057845,"xly"
"NDSN",-0.00753620768058201,"xlf"
"NEE",-0.0067639007017075,"xlp"
"NEM",-0.00791892212638894,"xlu"
"NEU",-0.00801100092415486,"xlb"
"NFG",-0.00756613811924818,"xli"
"NFLX",-0.00679389275231165,"xlu"
"NFX",-0.00872611790583572,"xly"
"NI",-0.00683276278243624,"xle"
"NKE",-0.00735164608280605,"xlu"
"NLSN",-0.00847147795812082,"xly"
"NLY",-0.00650978951622763,"xli"
"NNN",-0.00811132932201335,"xly"
"NOC",-0.00662702147342803,"xly"
"NOV",-0.00799263678157348,"xli"
"NOW",-0.00508353277669898,"xle"
"NRG",-0.00319056271976723,"xlk"
"NRZ",-0.00703070626806002,"xlu"
"NSC",-0.00577584924185964,"xly"
"NTAP",-0.00538195693288691,"xli"
"NTRS",-0.00617618715589015,"xlk"
"NUAN",-0.0072571730740633,"xlf"
"NUE",-0.0076581280479673,"xlk"
"NUS",-0.00557694762492747,"xlb"
"NVDA",-0.00416186836214898,"xlv"
"NVR",-0.00409101679760966,"xlk"
"NWL",-0.00874816770328834,"xlp"
"NWS",-0.00643239371733571,"xly"
"NWSA",-0.00630025294634204,"xly"
"NXPI",-0.00739894447780784,"xly"
"NYCB",-0.0077176204914691,"xlk"
"O",-0.00809723131414399,"xlf"
"OA",-0.0060204336450002,"xlre"
"OC",-0.00477073987952856,"xlp"
"ODFL",-0.00528975118115897,"xlp"
"OFC",-0.00765118912249704,"xli"
"OGE",-0.00743639012809184,"xly"
"OHI",-0.00768728475638627,"xlu"
"OI",-0.00574480377697943,"xly"
"OII",-0.00991682162038762,"xly"
"OKE",-0.00746307601310987,"xle"
"OLED",-0.00249368912692332,"xle"
"OLN",-0.00465488347750294,"xlp"
"OMC",-0.00848349571357046,"xli"
"OMF",-0.00712998936546686,"xlk"
"ON",-0.00525833675878178,"xlf"
"OPK",-0.00954067659066981,"xlk"
"ORCL",-0.00636083593469448,"xlv"
"ORI",-0.00724309984693851,"xlk"
"ORLY",-0.00847162100839685,"xlf"
"OSK",-0.00573908765391008,"xly"
"OUT",-0.00782179792061402,"xlp"
"OXY",-0.00787588777673669,"xly"
"OZRK",-0.00679914241061632,"xle"
"P",-0.00987038993567986,"xlf"
"PACW",-0.00784794832427907,"xly"
"PAG",-0.00688227447064482,"xlf"
"PAH",-0.00671299231534145,"xly"
"PANW",-0.006364463182704,"xli"
"PAYX",-0.00748563882935274,"xlk"
"PB",-0.00684767300623083,"xlk"
"PBCT",-0.00722779264095695,"xlf"
"PBF",-0.0058653114406277,"xlf"
"PBI",-0.00906109666804286,"xle"
"PCAR",-0.0069136379099392,"xly"
"PCG",-0.00851239006156542,"xli"
"PCLN",-0.00692600007352949,"xlu"
"PDCO",-0.00789446242008467,"xly"
"PDM",-0.00788550098370776,"xlv"
"PE",-0.00853358558487184,"xly"
"PEG",-0.00714869343388878,"xle"
"PEP",-0.00728115080182493,"xlu"
